ecoregion,year,quarter,vessel_length,fishing_tech,gear_type,mesh_size_range,target_assemblage,metier,icesname,species,totwghtlandg
Azores,2013,4,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),03C8,BSH,0.6735
Azores,2013,4,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),03C8,LEC,0.033
Azores,2013,4,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),03C8,SWO,0.127
Azores,2013,4,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),03C8,SMA,0.028
Azores,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),04C8,SWO,0.079
Azores,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),04C8,BSH,1.313
Azores,2013,1,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),05C8,SWO,0.1485
Azores,2013,1,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),05C8,BSH,0.1915
Azores,2013,1,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),06C8,SWO,0.3285
Azores,2013,1,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),06C8,BSH,0.262
Azores,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),06C8,ALB,0.0045
Azores,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),06C8,BSH,0.8005
Azores,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),06C8,SWO,0.152
Azores,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),06C8,LEC,0.011
Azores,2013,2,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),06C8,BET,0.0765
Azores,2013,2,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),06C8,BSH,4.5995
Azores,2013,2,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),06C8,SMA,0.149
Azores,2013,2,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),06C8,SWO,0.378
Azores,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01C7,SMA,0.095
Azores,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01C7,SWO,0.038
Azores,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01C7,LEC,0.01
Azores,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01C7,BSH,1.2865
Azores,2013,2,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01C7,BSH,0.679
