ecoregion,year,quarter,vessel_length,fishing_tech,gear_type,mesh_size_range,target_assemblage,metier,icesname,species,totwghtlandg
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,64G0,POK,4.6025
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,64G0,LIN,0.0425
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,64G0,RED,0.2605
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,64G0,HAD,0.496
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,64G0,COD,6.2305
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,65G0,LIN,0.012
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,65G0,HAD,4.181
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,65G0,POK,0.24
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,65G0,COD,7.9905
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,65G0,RED,0.027
Barents Sea,2013,4,VL40XX,TM,OTM,32D80,SPF,OTM_SPF_32-69_0_0,65G0,HER,318.1045
Barents Sea,2013,4,VL40XX,TM,PS,32D80,SPF,PS_SPF_32-69_0_0,65G0,HER,99.2485
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,63G1,COD,32.814
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,63G1,POK,5.6075
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,63G1,COD,8.8805
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,63G1,RED,1.114
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,63G1,LIN,0.204
Barents Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,63G1,POK,10.2815
