ecoregion,year,quarter,vessel_length,fishing_tech,gear_type,mesh_size_range,target_assemblage,metier,icesname,species,totwghtlandg
Faroes,2014,2,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_100-129_0_0,50D9,ANF,0.33
Faroes,2014,2,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_100-129_0_0,50D9,HAD,0.055
Faroes,2014,2,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_100-129_0_0,50D9,POK,0.06
Faroes,2014,2,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_100-129_0_0,50D9,SQC,0.01
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,ANF,1.805
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,COD,0.875
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,HAD,23.275
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,HAL,0.12
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,LEM,0.105
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,LIN,0.86
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,POK,3.12
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,SQC,2.27
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,ANF,0.98
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,COD,1.995
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,HAD,21.295
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,HAL,0.17
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,LEM,0.07
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,LIN,1.57
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,POK,2.55
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,SQC,4.565
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DWS,OTB_DWS_>=130_0_0,50D9,ANF,0.795
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DWS,OTB_DWS_>=130_0_0,50D9,COD,0.035
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DWS,OTB_DWS_>=130_0_0,50D9,HAD,4.04
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DWS,OTB_DWS_>=130_0_0,50D9,LIN,0.13
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DWS,OTB_DWS_>=130_0_0,50D9,POK,0.365
Faroes,2014,3,VL2440,DTS,OTB,120DXX,DWS,OTB_DWS_>=130_0_0,50D9,SQC,0.48
Faroes,2014,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_100-129_0_0,50D9,ANF,0.215
Faroes,2014,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_100-129_0_0,50D9,COD,6.095
Faroes,2014,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_100-129_0_0,50D9,POK,12.7
Faroes,2014,4,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,ANF,1.96
Faroes,2014,4,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,COD,0.5
Faroes,2014,4,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,HAD,9.5
Faroes,2014,4,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,LIN,0.18
Faroes,2014,4,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,POK,0.29
Faroes,2014,4,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,SQC,0.305
Faroes,2014,4,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,ANF,3.06
Faroes,2014,4,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,COD,1.345
Faroes,2014,4,VL2440,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,50D9,HAD,52.835
