ecoregion,year,quarter,vessel_length,fishing_tech,gear_type,mesh_size_range,target_assemblage,metier,icesname,species,totwghtlandg
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,67C8,GHL,12.5615
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,67C7,GHL,4.886
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,66C6,GHL,4.627
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,66C6,GHL,9.477
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,65C5,GHL,22.511
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,66C5,GHL,5.1815
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,66C5,GHL,10.7925
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,64C4,CAT,0.266
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,64C4,RNG,0.1125
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,64C4,GHL,65.534
Greenland Sea,2013,4,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,64C4,BLI,0.136
Greenland Sea,2013,4,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,64C4,CAT,0.1625
Greenland Sea,2013,4,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,64C4,GHL,13.0165
Greenland Sea,2013,4,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,64C4,COD,0.0345
Greenland Sea,2013,4,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,64C4,RNG,0.0445
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,65C4,CAT,0.102
Greenland Sea,2013,3,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=130_0_0,65C4,COD,0.1035
