ecoregion,year,quarter,vessel_length,fishing_tech,gear_type,mesh_size_range,target_assemblage,metier,icesname,species,totwghtlandg
Norwegian Sea,2013,3,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,57E9,HER,114.452
Norwegian Sea,2013,3,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,57E9,MAC,5.074
Norwegian Sea,2013,3,VL40XX,TM,PTM,32D80,SPF,PTM_SPF_32-69_0_0,56F0,HER,10
Norwegian Sea,2013,3,VL40XX,TM,PTM,32D80,SPF,PTM_SPF_32-69_0_0,56F0,MAC,65
Norwegian Sea,2013,3,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,57F0,HER,71.8325
Norwegian Sea,2013,3,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,58F0,HER,474.092
Norwegian Sea,2013,3,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,58F0,MAC,18.266
Norwegian Sea,2013,3,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,58F0,WHB,5.551
Norwegian Sea,2013,3,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,57F1,HER,61.776
Norwegian Sea,2013,3,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,57F1,WHB,1.239
Norwegian Sea,2013,4,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,58F1,MAC,10.4015
Norwegian Sea,2013,4,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,58F1,WHB,0.5945
Norwegian Sea,2013,4,VL40XX,TM,OTM,32D70,SPF,OTM_SPF_32-69_0_0,58F1,HER,139.3545
Norwegian Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,59G0,RED,0.464
Norwegian Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,59G0,HAD,0.2475
Norwegian Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,59G0,COD,10.2055
Norwegian Sea,2013,1,VL40XX,DTS,OTB,120DXX,DEF,OTB_DEF_>=120_0_0,59G0,RED,0.052
