ecoregion,year,quarter,vessel_length,fishing_tech,gear_type,mesh_size_range,target_assemblage,metier,icesname,species,totwghtlandg
Oceanic Northeast Atlantic,2013,3,VL1824,DFN,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),23D9,ALB,0.3745
Oceanic Northeast Atlantic,2013,3,VL1824,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),23D9,ALB,0.0065
Oceanic Northeast Atlantic,2013,3,VL2440,HOK,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),23D9,ALB,0.0905
Oceanic Northeast Atlantic,2013,3,VL2440,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),23D9,ALB,0.0065
Oceanic Northeast Atlantic,2013,1,VL2440,DTS,OTB,100D110,DEF,OTB_DEF_70-99_0_0,25D9,ANF,0.1025
Oceanic Northeast Atlantic,2013,1,VL2440,DTS,OTB,100D110,DEF,OTB_DEF_70-99_0_0,25D9,LEZ,0.1055
Oceanic Northeast Atlantic,2013,2,VL2440,DTS,OTB,100D110,DEF,OTB_DEF_70-99_0_0,25D9,LEZ,0.019
Oceanic Northeast Atlantic,2013,2,VL2440,DTS,OTB,80D100,DEF,OTB_DEF_70-99_0_0,25D9,ANF,0.055
Oceanic Northeast Atlantic,2013,2,VL2440,DTS,OTB,80D100,DEF,OTB_DEF_70-99_0_0,25D9,COE,0.0475
Oceanic Northeast Atlantic,2013,2,VL2440,DTS,OTB,80D100,DEF,OTB_DEF_70-99_0_0,25D9,LEZ,0.349
Oceanic Northeast Atlantic,2013,3,VL1218,DFN,LTL,"",NK,NK,25D9,ALB,0.202
Oceanic Northeast Atlantic,2013,3,VL1218,DFN,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.097
Oceanic Northeast Atlantic,2013,3,VL1218,HOK,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.1175
Oceanic Northeast Atlantic,2013,3,VL1824,DFN,LHP,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.0655
Oceanic Northeast Atlantic,2013,3,VL1824,DFN,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.07
Oceanic Northeast Atlantic,2013,3,VL1824,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.167
Oceanic Northeast Atlantic,2013,3,VL1824,HOK,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.022
Oceanic Northeast Atlantic,2013,3,VL1824,PGP,LTL,"",NK,NK,25D9,ALB,0.692
Oceanic Northeast Atlantic,2013,3,VL2440,DFN,LTL,"",NK,NK,25D9,ALB,0.0475
Oceanic Northeast Atlantic,2013,3,VL2440,DTS,OTB,100D110,DEF,OTB_DEF_70-99_0_0,25D9,COE,0.051
Oceanic Northeast Atlantic,2013,3,VL2440,DTS,OTB,100D110,DEF,OTB_DEF_70-99_0_0,25D9,LEZ,0.1465
Oceanic Northeast Atlantic,2013,3,VL2440,HOK,LHP,"",NK,NK,25D9,ALB,0.027
Oceanic Northeast Atlantic,2013,3,VL2440,HOK,LHP,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.1825
Oceanic Northeast Atlantic,2013,3,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),25D9,BSH,1.728
Oceanic Northeast Atlantic,2013,3,VL2440,PGP,LHP,"",NK,NK,25D9,ALB,0.034
Oceanic Northeast Atlantic,2013,3,VL2440,PGP,LHP,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.0265
Oceanic Northeast Atlantic,2013,3,VL2440,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.2785
Oceanic Northeast Atlantic,2013,3,VL2440,PS,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,BET,0.013
Oceanic Northeast Atlantic,2013,3,VL2440,PS,LHP,"",NK,NK,25D9,ALB,0.2855
Oceanic Northeast Atlantic,2013,3,VL2440,PS,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.1215
Oceanic Northeast Atlantic,2013,3,VL2440,PMP,LHP,"",LPF,LHP_LPF_0_0_0 (ALB),25D9,ALB,0.1045
Oceanic Northeast Atlantic,2013,4,VL2440,DTS,OTB,100D110,DEF,OTB_DEF_70-99_0_0,25D9,LEZ,0.054
Oceanic Northeast Atlantic,2013,4,VL2440,DTS,OTB,100D110,DEF,OTB_DEF_70-99_0_0,25D9,ANF,0.02
Oceanic Northeast Atlantic,2013,4,VL1824,PGP,LTL,"",NK,NK,25D9,ALB,1.0375
Oceanic Northeast Atlantic,2013,4,VL2440,DTS,OTB,80D100,DEF,OTB_DEF_70-99_0_0,25D9,LEZ,0.0685
Oceanic Northeast Atlantic,2013,4,VL2440,DTS,OTB,80D100,DEF,OTB_DEF_70-99_0_0,25D9,ANF,0.019
Oceanic Northeast Atlantic,2013,4,VL2440,HOK,LHP,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.4
Oceanic Northeast Atlantic,2013,4,VL2440,PGP,LHP,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.032
Oceanic Northeast Atlantic,2013,4,VL2440,PS,LHP,"",LPF,LTL_LPF_0_0_0 (ALB),25D9,ALB,0.105
Oceanic Northeast Atlantic,2013,4,VL2440,PGP,LHP,"",NK,NK,25D9,ALB,0.0705
Oceanic Northeast Atlantic,2013,3,VL1824,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),24D8,ALB,0.2145
Oceanic Northeast Atlantic,2013,1,VL2440,DTS,OTB,70D100,DEF,OTB_DEF_70-99_0_0,24D8,COE,0.0115
Oceanic Northeast Atlantic,2013,1,VL2440,DTS,OTB,70D100,DEF,OTB_DEF_70-99_0_0,24D8,LEZ,0.021
Oceanic Northeast Atlantic,2013,3,VL1824,HOK,LHP,"",LPF,LTL_LPF_0_0_0 (ALB),24D8,ALB,0.32
Oceanic Northeast Atlantic,2013,3,VL1824,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),24D8,ALB,0.452
Oceanic Northeast Atlantic,2013,3,VL1824,PS,LHP,"",LPF,LTL_LPF_0_0_0 (ALB),24D8,ALB,0.5965
Oceanic Northeast Atlantic,2013,3,VL1824,PGP,LTL,"",NK,NK,24D8,ALB,0.2085
Oceanic Northeast Atlantic,2013,3,VL2440,HOK,LTL,"",NK,NK,24D8,ALB,0.006
Oceanic Northeast Atlantic,2013,3,VL2440,PMP,LHP,"",LPF,LHP_LPF_0_0_0 (ALB),24D8,ALB,0.0515
Oceanic Northeast Atlantic,2013,3,VL2440,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),24D8,ALB,0.1865
Oceanic Northeast Atlantic,2013,3,VL2440,PS,LHP,"",LPF,LTL_LPF_0_0_0 (ALB),24D8,ALB,0.9885
Oceanic Northeast Atlantic,2013,3,VL1218,HOK,LTL,"",NK,NK,25D8,ALB,0.046
Oceanic Northeast Atlantic,2013,3,VL1218,HOK,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D8,ALB,0.0615
Oceanic Northeast Atlantic,2013,3,VL1824,PS,LHP,"",LPF,LTL_LPF_0_0_0 (ALB),25D8,ALB,0.4165
Oceanic Northeast Atlantic,2013,3,VL1824,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D8,ALB,0.022
Oceanic Northeast Atlantic,2013,3,VL2440,HOK,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D8,ALB,0.7545
Oceanic Northeast Atlantic,2013,3,VL2440,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D8,ALB,1.004
Oceanic Northeast Atlantic,2013,4,VL2440,PGP,LHP,"",NK,NK,25D8,ALB,0.0185
Oceanic Northeast Atlantic,2013,4,VL2440,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),25D8,ALB,0.0155
Oceanic Northeast Atlantic,2013,3,VL1824,DFN,LLD,"",LPF,LLD_LPF_0_0_0,22D7,ALB,0.0085
Oceanic Northeast Atlantic,2013,3,VL1218,HOK,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),22D7,ALB,0.5505
Oceanic Northeast Atlantic,2013,3,VL1824,PGP,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),22D7,ALB,0.0175
Oceanic Northeast Atlantic,2013,3,VL2440,HOK,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),22D7,ALB,0.0235
Oceanic Northeast Atlantic,2013,1,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01D6,BSH,0.0265
Oceanic Northeast Atlantic,2013,1,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01D6,LEC,0.0055
Oceanic Northeast Atlantic,2013,1,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01D6,BSH,0.305
Oceanic Northeast Atlantic,2013,1,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01D6,SWO,0.0125
Oceanic Northeast Atlantic,2013,1,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01D6,SWO,0.141
Oceanic Northeast Atlantic,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01D6,SWO,0.429
Oceanic Northeast Atlantic,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01D6,SWO,0.0675
Oceanic Northeast Atlantic,2013,1,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),01D6,BSH,0.2625
Oceanic Northeast Atlantic,2013,3,VL1218,DFN,LTL,"",LPF,LTL_LPF_0_0_0 (ALB),26D6,ALB,0.5135
