ecoregion,year,quarter,vessel_length,fishing_tech,gear_type,mesh_size_range,target_assemblage,metier,icesname,species,totwghtlandg
Western Mediterranean Sea,2013,1,VL1824,DTS,OTB,55D60,MCD,OTB_MCD_>=55_0_0,01E4,OCC,0.1645
Western Mediterranean Sea,2013,2,VL1218,PS,PS,16D20,SPF,PS_SPF_0_0_0,01E4,VMA,12.8015
Western Mediterranean Sea,2013,1,VL1218,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),04E9,SWO,0.427
Western Mediterranean Sea,2013,1,VL1824,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),04E9,SWO,1.095
Western Mediterranean Sea,2013,2,VL1218,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),04E9,SWO,0.027
Western Mediterranean Sea,2013,3,VL1218,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),04E9,SWO,0.116
Western Mediterranean Sea,2013,3,VL1218,PS,PS,NK,SPF,PS_SPF_>=14_0_0,04E9,ANE,1.507
Western Mediterranean Sea,2013,3,VL1218,PS,PS,NK,SPF,PS_SPF_>=14_0_0,04E9,PIL,0.143
Western Mediterranean Sea,2013,3,VL1824,PS,PS,NK,SPF,PS_SPF_>=14_0_0,04E9,ANE,1.625
Western Mediterranean Sea,2013,3,VL1824,PS,PS,NK,SPF,PS_SPF_>=14_0_0,04E9,PIL,0.017
Western Mediterranean Sea,2013,3,VL2440,HOK,LLD,"",LPF,LLD_LPF_0_0_0 (SWO),04E9,SWO,0.915
Western Mediterranean Sea,2013,4,VL1824,PS,PS,NK,SPF,PS_SPF_>=14_0_0,04E9,ANE,5.324
Western Mediterranean Sea,2013,4,VL1824,PS,PS,NK,SPF,PS_SPF_>=14_0_0,04E9,PIL,0.216
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,40D50,DEF,GNS_DEF_>=16_0_0,05E9,SBG,0.004
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,NK,SLP,GNS_SLP_>=16_0_0,05E9,HKE,0.44
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,40D50,SLP,GNS_SLP_>=16_0_0,05E9,LTA,0.027
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,40D50,SLP,GNS_SLP_>=16_0_0,05E9,MON,0.038
Western Mediterranean Sea,2013,1,VL0612,DFN,FPO,"",DEF,FPO_DEF_0_0_0,05E9,OCC,0.716
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,40D50,SLP,GNS_SLP_>=16_0_0,05E9,OCC,0.084
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,NK,DEF,GTR_DEF_>=16_0_0,05E9,MUX,0.003
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,NK,DEF,GTR_DEF_>=16_0_0,05E9,OCC,0.004
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,40D50,DEF,GNS_DEF_>=16_0_0,05E9,OCC,0.002
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,50D100,SLP,GNS_SLP_>=16_0_0,05E9,LTA,0.004
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,50D100,DEF,GTR_DEF_>=16_0_0,05E9,MAC,0.006
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,50D100,DEF,GTR_DEF_>=16_0_0,05E9,MUX,0.001
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,40D50,DEF,GTR_DEF_>=16_0_0,05E9,LTA,0.009
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,50D100,SLP,GNS_SLP_>=16_0_0,05E9,MZZ,0.005
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,40D50,SLP,GNS_SLP_>=16_0_0,05E9,OCC,0.005
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,50D100,SLP,GNS_SLP_>=16_0_0,05E9,LTA,0.004
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,40D50,SLP,GNS_SLP_>=16_0_0,05E9,SBG,0.004
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,50D100,DEF,GTR_DEF_>=16_0_0,05E9,OCC,0.014
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,50D100,SLP,GNS_SLP_>=16_0_0,05E9,SBG,0.001
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,NK,DEF,GTR_DEF_>=16_0_0,05E9,HKE,0.08
Western Mediterranean Sea,2013,1,VL0612,DFN,LLS,"",DEF,LLS_DEF_0_0_0,05E9,HKE,0.24
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,40D50,DEF,GNS_DEF_>=16_0_0,05E9,HOM,0.031
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,HKE,0.185
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,50D100,DEF,GTR_DEF_>=16_0_0,05E9,OCC,0.13
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,50D100,SLP,GNS_SLP_>=16_0_0,05E9,OCC,0.021
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,NK,DEF,GTR_DEF_>=16_0_0,05E9,OCC,0.13
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,50D100,DEF,GTR_DEF_>=16_0_0,05E9,MUX,0.03
Western Mediterranean Sea,2013,1,VL0612,DFN,LLS,"",DEF,LLS_DEF_0_0_0,05E9,BLT,0.35
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,50D100,SLP,GNS_SLP_>=16_0_0,05E9,OCC,0.019
Western Mediterranean Sea,2013,1,VL0612,DFN,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,MAC,0.05
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,40D50,DEF,GTR_DEF_>=16_0_0,05E9,OCC,0.003
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,50D100,DEF,GTR_DEF_>=16_0_0,05E9,LTA,0.006
Western Mediterranean Sea,2013,1,VL0612,DFN,GTR,50D100,DEF,GTR_DEF_>=16_0_0,05E9,SBG,0.008
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,HKE,0.385
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,MAC,0.051
Western Mediterranean Sea,2013,1,VL0612,PGP,FPO,"",DEF,FPO_DEF_0_0_0,05E9,HKE,0.001
Western Mediterranean Sea,2013,1,VL0612,PGP,FPO,"",DEF,FPO_DEF_0_0_0,05E9,MAC,0.001
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,BLT,0.315
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,LTA,0.028
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,SBG,0.004
Western Mediterranean Sea,2013,1,VL0612,PGP,FPO,"",DEF,FPO_DEF_0_0_0,05E9,OCC,0.076
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,SLP,GNS_SLP_>=16_0_0,05E9,SAA,0.028
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,MUX,0.005
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,OCC,0.058
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,SAA,0.006
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,MON,0.004
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,MZZ,0.01
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,SLP,GNS_SLP_>=16_0_0,05E9,MUX,0.006
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,SLP,GNS_SLP_>=16_0_0,05E9,OCC,0.035
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,SLP,GNS_SLP_>=16_0_0,05E9,MAC,0.044
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,SLP,GNS_SLP_>=16_0_0,05E9,BLT,2.313
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,SLP,GNS_SLP_>=16_0_0,05E9,HKE,0.125
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,SLP,GNS_SLP_>=16_0_0,05E9,MZZ,0.018
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,SLP,GNS_SLP_>=16_0_0,05E9,LTA,0.305
Western Mediterranean Sea,2013,1,VL0612,PGP,GNS,NK,SLP,GNS_SLP_>=16_0_0,05E9,SBG,0.019
Western Mediterranean Sea,2013,1,VL0612,PGP,GTR,NK,DEF,GTR_DEF_>=16_0_0,05E9,LTA,0.005
Western Mediterranean Sea,2013,1,VL0612,PGP,GTR,NK,DEF,GTR_DEF_>=16_0_0,05E9,MON,0.002
Western Mediterranean Sea,2013,1,VL0612,PGP,GTR,NK,DEF,GTR_DEF_>=16_0_0,05E9,SBG,0.003
Western Mediterranean Sea,2013,1,VL0612,PGP,GTR,NK,DEF,GTR_DEF_>=16_0_0,05E9,MZZ,0.171
Western Mediterranean Sea,2013,1,VL0612,PGP,GTR,NK,DEF,GTR_DEF_>=16_0_0,05E9,BLT,0.076
Western Mediterranean Sea,2013,1,VL0612,PGP,GTR,NK,DEF,GTR_DEF_>=16_0_0,05E9,SAA,0.014
Western Mediterranean Sea,2013,1,VL0612,PGP,LLS,"",DEF,LLS_DEF_0_0_0,05E9,LTA,0.005
Western Mediterranean Sea,2013,1,VL0612,PGP,GTR,NK,DEF,GTR_DEF_>=16_0_0,05E9,OCC,0.019
Western Mediterranean Sea,2013,1,VL0612,PGP,LLS,"",DEF,LLS_DEF_0_0_0,05E9,BLT,0.01
Western Mediterranean Sea,2013,1,VL0612,PGP,LLS,"",DEF,LLS_DEF_0_0_0,05E9,MZZ,0.003
Western Mediterranean Sea,2013,1,VL0612,PGP,LLS,"",DEF,LLS_DEF_0_0_0,05E9,HKE,0.216
Western Mediterranean Sea,2013,1,VL0612,PGP,LLS,"",DEF,LLS_DEF_0_0_0,05E9,MAC,0.003
Western Mediterranean Sea,2013,1,VL0612,PGP,LLS,"",DEF,LLS_DEF_0_0_0,05E9,SBG,0.001
Western Mediterranean Sea,2013,1,VL0612,PMP,GNS,NK,DEF,GNS_DEF_>=16_0_0,05E9,MAC,0.013
Western Mediterranean Sea,2013,1,VL0612,PMP,GTR,40D50,DEF,GTR_DEF_>=16_0_0,05E9,BLT,0.23
